id,template_id,name,category,city,description,verification_type,vibe_tags,price_level,avg_duration_minutes,lat,lng
949f1ba1-276e-43ce-bf28-dcf0588c5d48,5fce150c-5b3d-4af2-bd45-b1d152a779db,Cubs Game Day,active,Chicago,"Go to a Cubs game at Wrigley Field. Soak in the ivy-covered outfield walls, sing along to 'Go Cubs Go,' and grab a Chicago-style hot dog while you're at it.",photo,"social,cultural",4,120-180,41.9484,-87.6553
ef032a81-f362-4237-8628-fc9e96cff106,5fce150c-5b3d-4af2-bd45-b1d152a779db,Bottomless Brunch at Batter & Berries,food,Chicago,Do bottomless brunch at Batter & Berries in Lincoln Park. Enjoy bottomless mimosas (or bottomless water if you're keeping it chill) and try their famous lemon dreamsicle french toast.,photo,"foodie,social",3,60-90,41.9219,-87.6490
d82fefd1-7eb3-4ee4-910f-d693c4eeea2f,5fce150c-5b3d-4af2-bd45-b1d152a779db,"Bean There, Done That",photo spots,Chicago,Visit Cloud Gate (aka The Bean) in Millennium Park. Get the classic reflection photo but also find a creative angle that makes it look surreal or distorted.,photo,"photography,cultural",1,20-30,41.8827,-87.6233
a8587de4-7ffb-484b-8040-188a81318f9d,5fce150c-5b3d-4af2-bd45-b1d152a779db,River Selfie Stop,photo spots,Chicago,Take a selfie next to the Chicago River from the Riverwalk. Bonus points if you catch the green-dyed river on St. Patrick's Day or a water taxi in the background.,photo,"photography,chill",1,20-30,41.8882,-87.6218
5eec94b9-0e49-4cdf-8f8a-abe0d88dad8d,5fce150c-5b3d-4af2-bd45-b1d152a779db,Deep Dish Showdown,food,Chicago,Try deep dish pizza from Lou Malnati's or Giordano's and decide which side of the Chicago pizza debate you're on. Document the cheese pull.,photo,"foodie,cultural",3,45-60,41.8903,-87.6340
03c0b810-62ae-4cd8-8c67-cbcbb76e44ce,5fce150c-5b3d-4af2-bd45-b1d152a779db,Skydeck Ledge Step,active,Chicago,Step out onto the glass Ledge at Willis Tower's Skydeck on the 103rd floor. Look straight down and try to keep your cool for a full 30 seconds.,photo,"adventurous,photography",4,45-60,41.8789,-87.6359
b627c90d-f149-4163-b350-dd0483a4b902,5fce150c-5b3d-4af2-bd45-b1d152a779db,Architecture Boat Tour,museums,Chicago,Take a Chicago Architecture Foundation river cruise and learn about the buildings lining the river. Pick your favorite building and explain why.,photo,"cultural,history",4,60-90,41.8888,-87.6246
516735f2-b13c-4f9f-bf0b-5641acf53bce,5fce150c-5b3d-4af2-bd45-b1d152a779db,Navy Pier Ferris Wheel Ride,active,Chicago,Ride the Centennial Wheel at Navy Pier and snap a photo of the skyline from the top. Time it for sunset if you can.,photo,"adventurous,photography,romantic",3,45-60,41.8917,-87.6063
90076b14-f9ce-447f-8812-29bdb4369450,5fce150c-5b3d-4af2-bd45-b1d152a779db,Lincoln Park Zoo Wander,nature,Chicago,Visit Lincoln Park Zoo (it's free!) and find your spirit animal. Spend at least 30 minutes and snap a photo of your favorite exhibit.,photo,"outdoors,chill",1,60-90,41.9211,-87.6340
2694c7fc-0c0a-42eb-a87f-25433bf6916b,5fce150c-5b3d-4af2-bd45-b1d152a779db,Wicker Park Bar Hop,bars,Chicago,"Visit three bars in Wicker Park in one night, each with a different vibe. Try a craft cocktail at one, a dive beer at another, and a mezcal at the third.",gps,"nightlife,social",3,60-90,41.9088,-87.6796
50df2ef0-f010-4c03-bef2-5743df5b5c72,5fce150c-5b3d-4af2-bd45-b1d152a779db,Italian Beef Baptism,food,Chicago,Order an Italian beef sandwich dipped and with hot giardiniera from Portillo's or Al's #1 Italian Beef. Eat it standing up like a true Chicagoan.,photo,"foodie,cultural",2,20-30,41.8843,-87.6324
6751faaa-35f9-4e11-909f-886cf6b24c01,5fce150c-5b3d-4af2-bd45-b1d152a779db,Art Institute Masterpiece Hunt,museums,Chicago,"Visit the Art Institute of Chicago and find three famous works: American Gothic, A Sunday on La Grande Jatte, and Nighthawks. Take a selfie with your favorite.",gps,"cultural,history",4,60-90,41.8796,-87.6237
a07f14de-2395-4014-b34f-ca5e8838601a,5fce150c-5b3d-4af2-bd45-b1d152a779db,Lakefront Trail Run or Ride,active,Chicago,"Walk, run, or bike at least two miles of the Lakefront Trail along Lake Michigan. Take in the skyline views and stop for a breather at one of the beaches.",photo,"outdoors,active,adventurous",1,45-60,41.8827,-87.6130
