id,template_id,name,category,city,description,verification_type,vibe_tags,price_level,avg_duration_minutes,lat,lng
b1a30075-6372-46e8-84a7-953ea9e79ecd,99123ed6-779f-4632-baee-00d34c7ef33f,Hot Chicken Heat Test,food,Nashville,"Go to Prince's Hot Chicken and order at least medium heat. Take one full bite and rate your spice tolerance like a food critic. Bonus points if you describe the flavor beyond just ""hot.""",gps,"foodie,cultural",3,45-60,36.170625,-86.7791722
1b3abec2-6aef-4043-98d8-be67ade89c39,99123ed6-779f-4632-baee-00d34c7ef33f,Broadway Honky Tonk Hop,bars,Nashville,Visit three different honky tonk bars on Broadway in one night. Spend at least 10 minutes in each and listen to live music in all three before moving on.,gps,"nightlife,social",1,45-60,36.16103951,-86.7769814
0c2b2f01-8059-43fa-a9d3-43fc0841ed34,99123ed6-779f-4632-baee-00d34c7ef33f,Parthenon Perspective,photo spots,Nashville,Capture a dramatic photo of the full-scale Parthenon in Centennial Park from a creative angle that makes it look like you're in Greece.,photo,"photography,history",1,20-30,36.14991627,-86.81335736
ab6fe0bc-fb62-4584-84e0-36f8a3fb3ee1,99123ed6-779f-4632-baee-00d34c7ef33f,East Nashville Mural Hunt,street art,Nashville,Find a mural in East Nashville that isn't the famous wings and take a creative pose that matches the vibe of the artwork.,photo,"photography,adventurous",1,20-30,36.1967,-86.7422
b3df83d8-ddff-40e5-b418-ff02c90f538e,99123ed6-779f-4632-baee-00d34c7ef33f,Vinyl Treasure Dig,music,Nashville,Visit Grimey's and dig through the vinyl bins until you find an album you've never heard of. Share why you chose it and what genre you think it is.,gps,"music,cultural",1,20-30,36.20490794,-86.74146899
34642102-a93f-4b04-af2b-af9356099e8a,99123ed6-779f-4632-baee-00d34c7ef33f,Hidden Speakeasy Entry,bars,Nashville,Find the hidden speakeasy-style bar The Patterson House and enter through the unassuming door. Soak in the atmosphere before ordering something unique.,gps,"nightlife,social",1,45-60,36.1506,-86.7787
cc647064-b030-46ed-a44c-27ec0efa4967,99123ed6-779f-4632-baee-00d34c7ef33f,Pedestrian Bridge Skyline Shot,photo spots,Nashville,Walk the John Seigenthaler Pedestrian Bridge at sunset and capture a skyline photo with the Cumberland River in frame.,photo,"photography,history",1,20-30,36.16220864,-86.77244992
c9984a2b-c08a-40e2-ad07-e904bbad56d9,99123ed6-779f-4632-baee-00d34c7ef33f,Farmers Market Local Bite,food,Nashville,Visit the Nashville Farmers' Market and try something from a local vendor you've never heard of. Learn one fact about the vendor.,gps,"foodie,social",1,20-30,36.17231024,-86.78939392
edbbc8cf-15da-4180-8b75-80994a2bcc38,99123ed6-779f-4632-baee-00d34c7ef33f,Country Music Hall Deep Dive,museums,Nashville,Explore the Country Music Hall of Fame and find an exhibit featuring a legend you didn't grow up listening to. Read their story fully.,gps,"cultural,history",4,60-90,36.159786,-86.77707017
9ab47b08-02a1-434d-add1-acfb36654e0a,99123ed6-779f-4632-baee-00d34c7ef33f,12 South Boutique Browse,shopping,Nashville,Visit three unique boutiques in 12 South and find one item you'd realistically buy. Describe why it fits your style.,gps,"chill,adventurous",1,60-90,36.1245,86.7864
ed076eb2-0d1f-43da-85d9-fced115df619,99123ed6-779f-4632-baee-00d34c7ef33f,Radnor Lake Nature Loop,nature,Nashville,Complete at least one full loop trail at Radnor Lake and keep an eye out for wildlife. Spot at least one animal during your walk.,gps,"outdoors,chill",1,45-60,36.06457561,-86.80906075
cc929f96-6dfc-444c-8614-298ccbfc18e2,99123ed6-779f-4632-baee-00d34c7ef33f,Live Songwriter Round,music,Nashville,Attend a live songwriter round like at The Listening Room and listen to the stories behind at least two songs.,gps,"music,cultural,social",3,45-60,36.15521928,-86.77278322
a561cc3a-d0cb-4c98-8bf7-f62da233f07d,99123ed6-779f-4632-baee-00d34c7ef33f,Coffee Flight Challenge,cafes,Nashville,Order a coffee flight at a local café or try two different brewing styles. Compare flavor notes like a pro.,photo,"chill,foodie",2,20-30,,
9eb113f3-3cb9-4412-884a-37a842d175a3,99123ed6-779f-4632-baee-00d34c7ef33f,Gulch Wings Pose,street art,Nashville,Take a photo at the famous 'What Lifts You' wings mural in The Gulch with a creative or unexpected pose.,photo,"photography,cultural,chill",1,20-30,36.15516077,-86.78485874
4ec37644-9338-4dc6-aac8-adcc3c5e31d5,99123ed6-779f-4632-baee-00d34c7ef33f,Bicentennial Capitol View,nature,Nashville,Stand at the end of the Bicentennial Mall lawn facing the Capitol and snap a centered symmetry photo.,photo,"outdoors,photography",1,20-30,36.17127785,-86.78738206
3b8dc79c-9f3d-4a51-86b8-528e57ee674d,99123ed6-779f-4632-baee-00d34c7ef33f,Broadway Line Dance,active,Nashville,Learn and perform a simple line dance inside a Broadway bar. Capture proof mid-dance.,photo,"social,nightlife",1,45-60,,
0b7d75fe-ce53-4d1b-ba04-4569503d6904,99123ed6-779f-4632-baee-00d34c7ef33f,Local BBQ Showdown,food,Nashville,Try BBQ from a local joint like Martin's or Peg Leg Porker and compare it to another BBQ spot in town.,photo,"foodie,cultural",3,45-60,,
cd12c0ba-5dff-401c-a1db-e588d06e343a,99123ed6-779f-4632-baee-00d34c7ef33f,Record Your Own Chorus,music,Nashville,Visit a public music space or street performer area and record yourself singing one chorus of a country song.,photo,"music,adventurous",1,20-30,,
bbeb2066-c4c4-46fe-85dc-dcc0ebaa17fa,99123ed6-779f-4632-baee-00d34c7ef33f,Germantown Brunch Quest,food,Nashville,Try brunch in Germantown and order something outside your comfort zone.,both,"foodie, adventurous ",3,45-60,,
694b486c-ec33-4369-98c3-c3819f88c517,99123ed6-779f-4632-baee-00d34c7ef33f,Hidden Bookstore Find,shopping,Nashville,Visit a local independent bookstore and find a book written by a Tennessee author.,photo,"adventurous,chill,history",1,20-30,,
b1c35bf5-ad24-4162-863a-a556b9869a8a,99123ed6-779f-4632-baee-00d34c7ef33f,Cumberland Kayak Adventure,active,Nashville,Rent a kayak or paddleboard on the Cumberland River and complete at least 20 minutes on the water.,photo,"outdoors,adventurous",4,60-120,36.16692679,-86.7266287
2b1a0c29-c428-43d8-9ea8-01eea70cbbc4,99123ed6-779f-4632-baee-00d34c7ef33f,Frist Art Interpretation,museums,Nashville,Visit the Frist Art Museum and choose one artwork to interpret in your own words as if you're the artist.,gps,"cultural,history",3,60-90,36.15921211,-86.78393887
f45e9100-4319-4104-b039-183e7c4445f0,99123ed6-779f-4632-baee-00d34c7ef33f,Five Points Bar Crawl,bars,Nashville,"Visit two bars in Five Points, each with completely different vibes such as dive versus upscale.",gps,"nightlife,social,romantic",3,60-90,36.177472,-86.74994
f1c8cae5-267d-4da1-aefb-07b18503abac,99123ed6-779f-4632-baee-00d34c7ef33f,Sunrise Overlook Moment,nature,Nashville,Find the scenic overlook Love Circle and watch the sunrise while reflecting for five minutes.,gps,"romantic, outdoors, chill",1,20-30,36.1378,-86.815
7c526812-6f32-412e-8c17-6f352e4106de,99123ed6-779f-4632-baee-00d34c7ef33f,Custom Cowboy Hat Try-On,shopping,Nashville,Visit a local Western wear shop and try on a cowboy hat that fits your personality.,photo,cultural,1,20-30,,
dd15fbd3-85c1-40f3-97e8-20d0a3c4eba1,99123ed6-779f-4632-baee-00d34c7ef33f,Nashville Food Truck Find,food,Nashville,Track down a food truck and order their specialty item.,photo,"cultural, foodie, chill",2,20-30,,
40250a36-d318-4d10-b542-9b2a902a0afd,99123ed6-779f-4632-baee-00d34c7ef33f,Musicians Corner Picnic,music,Nashville,Attend a live outdoor music event like Musicians Corner and sit through at least two full sets.,photo,"cultural, music, outdoors",1,60-90,,
77f10af6-b5e3-4458-b6a2-03ee4c33a3a9,99123ed6-779f-4632-baee-00d34c7ef33f,Art Crawl Night,street art,Nashville,Participate in an art crawl event and visit at least three participating galleries.,photo,"cultural, photography",1,60-90,,
c23e0380-7beb-4d18-b144-cdec652d6a10,99123ed6-779f-4632-baee-00d34c7ef33f,Latte Art Photo,cafes,Nashville,Order a latte with art and capture a close-up photo before taking a sip.,photo,"foodie, chill",2,20-30,,
66d6afe1-8009-4683-81b4-f63672cdcc7a,99123ed6-779f-4632-baee-00d34c7ef33f,Shelby Bottoms Bike Ride,active,Nashville,Ride a bike along Shelby Bottoms Greenway.,both,"active, outdoors, adventurous ",3,45-60,36.16674,-86.72491
71efa433-53fa-483a-b8bf-0f1ce16356a1,99123ed6-779f-4632-baee-00d34c7ef33f,Grand Ole Opry Visit,music,Nashville,Visit the Grand Ole Opry through a tour or show and learn one historical fact about its origins.,gps,"cultural, music, history",3,60-90,36.2069,-86.6921
47c91fd8-bc31-42c7-86db-c873bd9131ce,99123ed6-779f-4632-baee-00d34c7ef33f,Hidden Garden Discover,nature,Nashville,Find a lesser-known park or garden space and spend 10 uninterrupted minutes there.,photo,"outdoors, chill",1,20-30,,
6f235eb4-19aa-4592-a4af-5c1d27501f2c,99123ed6-779f-4632-baee-00d34c7ef33f,Neon Sign Capture,photo spots,Nashville,Find a classic Nashville neon sign at night and take a moody photo featuring it.,photo,"chill, photography",1,20-30,,
f32a751f-7df2-4c0b-8552-1d4ec414cf58,99123ed6-779f-4632-baee-00d34c7ef33f,Chocolate Factory Stop,food,Nashville,Visit Olive & Sinclair Chocolate Co. and try a locally made chocolate product.,gps,foodie,2,20-30,36.17334183,-86.73997435
